"","site","lat","long","Annual Mean Temperature","Mean Diurnal Range (Mean of monthly (max temp - min temp))","Isothermality (BIO2/BIO7) (* 100)","Temperature Seasonality (standard deviation *100)","Max Temperature of Warmest Month","Min Temperature of Coldest Month","Temperature Annual Range (BIO5-BIO6)","Mean Temperature of Wettest Quarter","Mean Temperature of Driest Quarter","Mean Temperature of Warmest Quarter","Mean Temperature of Coldest Quarter","Annual Precipitation","Precipitation of Wettest Month","Precipitation of Driest Month","Precipitation Seasonality (Coefficient of Variation)","Precipitation of Wettest Quarter","Precipitation of Driest Quarter","Precipitation of Warmest Quarter","Precipitation of Coldest Quarter"
"1","AU10A",-17.61343944,145.5598501,16.1709995269775,3.28600001335144,0.331000000238419,0.833000004291534,20.8490009307861,10.9320001602173,9.91600036621094,18.4909992218018,13.5240001678467,18.8470001220703,12.9460000991821,67.5350036621094,14.878999710083,1.22699999809265,0.820999979972839,37.5950012207031,4.59600019454956,31.3939990997314,6.32800006866455
"2","AU10B",-17.69646656,145.5219314,18.0470008850098,5.26200008392334,0.40200001001358,1.00100004673004,24.5429992675781,11.4589996337891,13.0839996337891,20.8509998321533,14.9049997329712,21.2730007171631,14.1490001678467,58.6959991455078,13.1759996414185,0.991999983787537,0.84500002861023,33.2649993896484,3.66599988937378,28.0629997253418,5.13000011444092
"3","AU1A",-17.71670041,145.86284,22.9039993286133,6.96199989318848,0.495000004768372,0.907000005245209,29.6469993591309,15.5729999542236,14.0740003585815,25.617000579834,19.9790000915527,25.8810005187988,19.246000289917,109.49299621582,21.503999710083,2.30399990081787,0.753000020980835,57.5989990234375,8.11299991607666,46.7410011291504,10.1020002365112
"4","AU2A",-17.65673924,145.8679682,23.3050003051758,7.78700017929077,0.499000012874603,0.992999970912933,31.0060005187988,15.4029998779297,15.6029996871948,26.2509994506836,20.0930004119873,26.5960006713867,19.3369998931885,113.169998168945,22.1620006561279,2.28900003433228,0.754999995231628,59.6139984130859,8.15100002288818,48.4900016784668,10.1870002746582
"5","AU4A",-17.61036448,145.7663552,21.7759990692139,7.78000020980835,0.488000005483627,0.986000001430511,29.75,13.8030004501343,15.9469995498657,24.5669994354248,18.6100006103516,25.0179996490479,17.8460006713867,103.953002929688,21.0849990844727,2.24000000953674,0.763999998569489,55.3460006713867,7.85799980163574,44.3779983520508,10.2829999923706
"6","AU6A",-17.67597315,145.7124654,20.8619995117188,6.68599987030029,0.488000005483627,0.889999985694885,27.3689994812012,13.6619997024536,13.7080001831055,23.4130001068115,19.5370006561279,23.7250003814697,17.2800006866455,96.1309967041016,19.7339992523193,2.00399994850159,0.767000019550323,51.2480010986328,7.52500009536743,40.9269981384277,10.1149997711182
"7","AU8A",-17.60586822,145.6390648,18.7250003814697,5.43699979782104,0.419999986886978,0.933000028133392,25.0230007171631,12.0659999847412,12.9569997787476,21.3150005340576,17.5060005187988,21.7220001220703,15.0109996795654,85.6549987792969,18.0240001678467,1.68799996376038,0.788999974727631,46.4910011291504,6.32299995422363,37.5330009460449,8.71000003814697
"8","AUAA",-17.74672313,145.5651914,19.2409992218018,6.17000007629395,0.449999988079071,0.929000020027161,25.8689994812012,12.164999961853,13.7030000686646,21.818000793457,16.253999710083,22.2280006408691,15.5389995574951,67.9420013427734,14.9460000991821,1.25499999523163,0.808000028133392,37.3489990234375,4.8439998626709,30.923999786377,6.70499992370605
"9","AUAC",-17.74641775,145.5336776,18.3950004577637,5.69099998474121,0.42399999499321,0.945999979972839,24.996000289917,11.5640001296997,13.4320001602173,20.9979991912842,15.4399995803833,21.4130001068115,14.6490001678467,61.4129981994629,13.625,1.09099996089935,0.824000000953674,34.2179985046387,4.13800001144409,28.6009998321533,5.76000022888184
"10","AUAD",-17.76958824,145.5350262,19.5830001831055,7.42199993133545,0.492000013589859,0.90499997138977,26.5949993133545,11.5170001983643,15.0780000686646,22.1480007171631,16.6299991607666,22.5090007781982,15.9980001449585,61.9389991760254,13.6669998168945,1.12000000476837,0.816999971866608,34.2960014343262,4.28499984741211,28.5590000152588,5.95800018310547
"11","AUBA",-17.37460144,145.7196059,19.0790004730225,5.52500009536743,0.444000005722046,0.875,25.0610008239746,12.6049995422363,12.4549999237061,21.5799999237061,17.8379993438721,21.882999420166,15.6199998855591,93.359001159668,19.0310001373291,1.97399997711182,0.762000024318695,49.6300010681152,7.26000022888184,39.5130004882812,10.210000038147
"12","AUBB",-17.38742191,145.7461066,20.2700004577637,6.15700006484985,0.474000006914139,0.859000027179718,26.6569995880127,13.6700000762939,12.9870004653931,22.7310009002686,19.0389995574951,23.0590000152588,16.8430004119873,99.7910003662109,19.9249992370605,2.16100001335144,0.745000004768372,52.2529983520508,7.97300004959106,41.3870010375977,11.2880001068115
"13","AUBC",-17.38038636,145.7613267,20.3400001525879,6.45300006866455,0.493000000715256,0.841000020503998,26.6149997711182,13.5249996185303,13.0900001525879,22.806999206543,19.0739994049072,23.1180000305176,17,102.574996948242,20.4249992370605,2.23499989509583,0.744000017642975,53.701000213623,8.25800037384033,42.5349998474121,11.4989995956421
"14","AUCA",-17.30303142,145.4224772,17.4300003051758,4.67700004577637,0.404000014066696,0.832000017166138,23.3910007476807,11.8249998092651,11.5659999847412,19.4750003814697,14.8839998245239,20.0100002288818,14.1579999923706,41.564998626709,10.3400001525879,0.490000009536743,0.967999994754791,25.4209995269775,1.84200000762939,15.6820001602173,2.45000004768372
"15","AUSE",-17.73890834,145.5409338,18.201000213623,5.73199987411499,0.418000012636185,0.989000022411346,24.875,11.1700000762939,13.7049999237061,20.9540004730225,15.0880002975464,21.3190002441406,14.2690000534058,62.9249992370605,13.9530000686646,1.12399995326996,0.822000026702881,34.9990005493164,4.27299976348877,29.2150001525879,5.93900012969971
"16","AUSR",-17.72360883,145.5311382,18.1989994049072,5.02699995040894,0.386000007390976,0.986000001430511,24.6410007476807,11.6009998321533,13.039999961853,20.882999420166,15.1599998474121,21.3159999847412,14.2799997329712,60.8650016784668,13.5679998397827,1.06299996376038,0.830999970436096,34.1139984130859,3.99799990653992,28.6089992523193,5.57100009918213
"17","CU10A",-16.5647694,145.273656,18.0259990692139,5.03800010681152,0.41100001335144,0.89300000667572,24.2430000305176,11.9820003509521,12.2609996795654,20.5189990997314,15.2410001754761,20.9860000610352,14.5869998931885,67.2789993286133,15.5670003890991,1.25600004196167,0.850000023841858,38.2120018005371,4.55800008773804,33.2599983215332,6.14499998092651
"18","CU10B",-16.58544302,145.2701732,17.673999786377,3.80599999427795,0.358999997377396,0.846000015735626,22.8659992218018,12.2659997940063,10.6009998321533,20.056999206543,14.9940004348755,20.4669990539551,14.4090003967285,61.8380012512207,14.6110000610352,1.10099995136261,0.876999974250793,35.8339996337891,3.95099997520447,31.2740001678467,5.31500005722046
"19","CU12A",-16.51777537,145.2731373,15.2729997634888,3.04399991035461,0.335999995470047,0.774999976158142,19.7269992828369,10.664999961853,9.0620002746582,17.4610004425049,12.8660001754761,17.80299949646,12.2770004272461,79.0059967041016,17.6140003204346,1.58599996566772,0.804000020027161,43.3190002441406,5.86700010299683,37.5439987182617,7.94000005722046
"20","CU1A",-16.4710519,145.3203315,21.7740001678467,4.46000003814697,0.414000004529953,0.745999991893768,27.0669994354248,16.30299949646,10.7650003433228,23.8859996795654,19.3490009307861,24.1959991455078,18.7590007781982,80.5879974365234,18.1949996948242,1.43299996852875,0.867999970912933,46.3359985351562,4.72900009155273,39.548999786377,6.1230001449585
"21","CU4A",-16.56585097,145.4095122,22.5049991607666,4.66099977493286,0.430999994277954,0.744000017642975,27.5750007629395,16.7520008087158,10.8229999542236,24.6560001373291,20.0340003967285,24.9120006561279,19.5279998779297,67.6699981689453,16.3129997253418,0.883000016212463,0.959999978542328,41.4459991455078,2.97199988365173,35.4119987487793,3.58500003814697
"22","CU4B",-16.53123091,145.3732586,22.6749992370605,5.57600021362305,0.458000004291534,0.792999982833862,28.6149997711182,16.4500007629395,12.1639995574951,24.8980007171631,20.0650005340576,25.2520008087158,19.5149993896484,71.1029968261719,16.992000579834,0.944000005722046,0.950999975204468,43.2910003662109,3.1010000705719,37.0369987487793,3.76900005340576
"23","CU6A",-16.57840977,145.3127592,20.3409996032715,4.39599990844727,0.379000008106232,0.801999986171722,26.1650009155273,14.5559997558594,11.6090002059937,22.4839992523193,17.7609996795654,22.9400005340576,17.1159992218018,64.234001159668,15.3000001907349,1.10199999809265,0.903999984264374,37.9580001831055,3.69300007820129,32.8160018920898,4.85099983215332
"24","CU8A",-16.58578307,145.3015811,19.742000579834,5.21299982070923,0.441000014543533,0.830999970436096,25.3939990997314,13.5740003585815,11.8190002441406,22.1259994506836,17.0650005340576,22.4330005645752,16.4419994354248,62.7140007019043,14.9449996948242,1.08500003814697,0.898000001907349,36.9140014648438,3.72000002861023,32.0099983215332,4.92899990081787
"25","CUAA",-16.57461838,145.2626988,17.992000579834,5.06500005722046,0.412000000476837,0.90200001001358,24.0510005950928,11.7589998245239,12.2919998168945,20.5249996185303,15.1569995880127,20.9710006713867,14.5010004043579,62.6949996948242,14.7440004348755,1.12199997901917,0.870999991893768,36.1829986572266,4.04500007629395,31.5949993133545,5.44899988174438
"26","SU10A",-18.94102845,146.1860555,18.6630001068115,4.68800020217896,0.412999987602234,0.903999984264374,23.92799949646,12.5869998931885,11.3409996032715,21.4580001831055,15.1990003585815,21.6770000457764,15.1990003585815,59.6959991455078,15.8520002365112,0.955999970436096,1.00499999523163,37.640998840332,3.18600010871887,33.5169982910156,3.18600010871887
"27","SU10B",-19.00221106,146.2052631,17.8129997253418,3.61899995803833,0.331999987363815,0.912999987602234,22.7779998779297,11.8809995651245,10.8970003128052,20.5160007476807,15.0139999389648,20.8250007629395,14.2370004653931,58.0919990539551,15.4860000610352,1.03699994087219,0.992999970912933,36.3139991760254,3.5220000743866,32.6749992370605,3.69899988174438
"28","SU350A",-19.015591,146.26558,21.3400001525879,5.88299989700317,0.435000002384186,0.926999986171722,27.4860000610352,13.9580001831055,13.5279998779297,23.9860000610352,18.42799949646,24.3400001525879,17.5960006713867,56.8779983520508,15.3100004196167,0.953000009059906,1.00899994373322,35.8190002441406,3.17000007629395,32.1730003356934,3.37899994850159
"29","SU6A",-19.00085923,146.247205,19.9869995117188,5.07800006866455,0.395999997854233,0.906000018119812,25.7709999084473,12.9429998397827,12.8280000686646,22.5310001373291,17.1040000915527,22.8680000305176,16.3110008239746,57.7290000915527,15.4779996871948,0.975000023841858,1.00399994850159,36.2949981689453,3.25799989700317,32.5800018310547,3.42600011825562
"30","SU8A",-18.98070162,146.1659144,18.2150001525879,4.49200010299683,0.361999988555908,0.977999985218048,24.2259998321533,11.8190002441406,12.4069995880127,21.068000793457,15.2290000915527,21.4599990844727,14.4230003356934,57.8170013427734,15.3620004653931,1.01699995994568,0.991999983787537,36.1570014953613,3.48699998855591,32.476001739502,3.58200001716614
"31","SUAA",-19.01159813,146.2047149,17.8589992523193,3.85199999809265,0.32600000500679,0.986000001430511,23.6730003356934,11.8520002365112,11.8199996948242,20.6770000457764,14.9169998168945,21.0860004425049,14.0150003433228,57.8409996032715,15.4180002212524,1.05599999427795,0.990000009536743,36.0859985351562,3.59500002861023,32.5299987792969,3.80699992179871
"32","SUAB",-19.00618828,146.2075909,18.0279998779297,3.59899997711182,0.328999996185303,0.924000024795532,23.0259990692139,12.0839996337891,10.9420003890991,20.7439994812012,15.206000328064,21.0149993896484,14.3760004043579,57.9900016784668,15.4659996032715,1.03699994087219,0.992999970912933,36.2490005493164,3.51999998092651,32.6259994506836,3.70499992370605
"33","SUAC",-19.00450691,146.176446,17.7679996490479,4.0310001373291,0.34799998998642,0.953000009059906,23.1909999847412,11.6079998016357,11.5830001831055,20.5820007324219,14.8319997787476,20.8589992523193,14.0249996185303,57.7929992675781,15.3690004348755,1.06500005722046,0.986999988555908,36.0060005187988,3.6489999294281,32.4729995727539,3.83200001716614
"34","SUBA",-18.93975617,146.1482446,18.7259998321533,4.59800004959106,0.370999991893768,0.992999970912933,24.5550003051758,12.1680002212524,12.3870000839233,21.6410007476807,14.8159999847412,21.9139995574951,14.8159999847412,57.3580017089844,15.2049999237061,0.934000015258789,0.999000012874603,36.0429992675781,3.20199990272522,32.1650009155273,3.20199990272522
"35","SUBB",-18.9359161,146.1602775,19.0450000762939,4.70800018310547,0.381999999284744,0.958000004291534,24.8729991912842,12.5450000762939,12.3290004730225,21.8320007324219,15.2690000534058,22.117000579834,15.2690000534058,58.2070007324219,15.4359998703003,0.931999981403351,1.00199997425079,36.6469993591309,3.14800000190735,32.648998260498,3.14800000190735
"36","SUBC",-18.94260677,146.1853355,18.9169998168945,5.13700008392334,0.419999986886978,0.930000007152557,24.8929996490479,12.6529998779297,12.2410001754761,21.7399997711182,15.3439998626709,22.0300006866455,15.3439998626709,59.6370010375977,15.8369998931885,0.961000025272369,1.00399994850159,37.5880012512207,3.21099996566772,33.4850006103516,3.21099996566772
"37","SUBD",-18.94930836,146.1443497,18.4340000152588,4.00699996948242,0.351000010967255,0.934000015258789,23.7600002288818,12.3450002670288,11.4139995574951,21.1860008239746,15.5340003967285,21.4570007324219,14.7480001449585,56.976001739502,15.1090002059937,0.949999988079071,0.995999991893768,35.734001159668,3.29399991035461,31.9610004425049,3.29699993133545
"38","SUBE",-18.94930836,146.1443497,18.4340000152588,4.00699996948242,0.351000010967255,0.934000015258789,23.7600002288818,12.3450002670288,11.4139995574951,21.1860008239746,15.5340003967285,21.4570007324219,14.7480001449585,56.976001739502,15.1090002059937,0.949999988079071,0.995999991893768,35.734001159668,3.29399991035461,31.9610004425049,3.29699993133545
"39","WU10A",-16.28209775,145.079913,17.7740001678467,4.91499996185303,0.418000012636185,0.861999988555908,23.0419998168945,11.2729997634888,11.7690000534058,20.2789993286133,14.9379997253418,20.636999130249,14.4329996109009,64.0459976196289,14.1960000991821,0.999000012874603,0.875999987125397,37.1790008544922,3.7720000743866,32.3050003051758,5.18599987030029
"40","WU11A",-16.26002069,145.0421497,17.0799999237061,5.08599996566772,0.426999986171722,0.879000008106232,22.4820003509521,10.5670003890991,11.914999961853,19.673999786377,14.2709999084473,19.9629993438721,13.7069997787476,66.8160018920898,14.5939998626709,1.0809999704361,0.85699999332428,38.2639999389648,4.14200019836426,33.3370018005371,5.74200010299683
"41","WU12A",-16.24570179,145.0229768,16.9720001220703,3.25300002098083,0.358000010251999,0.712000012397766,20.7140007019043,11.6149997711182,9.09899997711182,19.0009994506836,14.6569995880127,19.2070007324219,14.0979995727539,69.3199996948242,14.9890003204346,1.15100002288818,0.84500002861023,39.3470001220703,4.43300008773804,34.2700004577637,6.16900014877319
"42","WU13A",-16.23629558,145.0104071,17.1200008392334,3.7409999370575,0.379000008106232,0.772000014781952,21.6520004272461,11.7749996185303,9.8769998550415,19.3579998016357,14.6879997253418,19.5520000457764,14.0690002441406,71.3539962768555,15.3190002441406,1.20799994468689,0.836000025272369,40.2319984436035,4.67000007629395,35.0279998779297,6.51399993896484
"43","WU9A",-16.28658435,145.0904224,19.0130004882812,6.21799993515015,0.47299998998642,0.874000012874603,25.4559993743896,12.3070001602173,13.1490001678467,21.503999710083,16.2590007781982,21.9750003814697,15.6569995880127,64.2730026245117,14.2650003433228,0.996999979019165,0.879999995231628,37.4109992980957,3.72499990463257,32.4080009460449,5.09999990463257
"44","WUWSA",-16.20784966,144.9738951,16.8360004425049,3.70600008964539,0.381999999284744,0.722000002861023,20.6599998474121,10.9700002670288,9.68900012969971,18.9479999542236,14.4989995956421,19.0750007629395,13.9329996109009,78.2809982299805,16.4720001220703,1.40299999713898,0.810000002384186,43.2669982910156,5.46999979019165,37.6139984130859,7.68200016021729
