,X,site,lat,long,nts,region,elev,siteid,ps,ps_storlie,elevation,elev2,elev_round
1,1,AU10A,-17.61343944,145.5598501,5.759999275,1,3,V1,67.83566,0.82099998,1048.859011,1,1000
2,2,AU10B,-17.69646656,145.5219314,8.550000191,1,3,V2,87.65303,0.845000029,976.8824181,1,1000
3,3,AU1A,-17.71670041,145.86284,36.02000046,1,1,V3,73.71043,0.753000021,83.56652426,3,100
4,4,AU2A,-17.65673924,145.8679682,33.76999664,1,1,V4,51.52,0.754999995,199.4182338,3,200
5,5,AU4A,-17.61036448,145.7663552,25.62,1,1,V5,116.93,0.764,668.6000358,3,400
6,6,AU6A,-17.67597315,145.7124654,16.48999977,1,2,V6,85.17,0.76700002,612.538211,2,600
7,7,AU8A,-17.60586822,145.6390648,11.8000021,1,2,V7,64.74,0.788999975,798.5691197,2,800
8,8,AUAA,-17.74672313,145.5651914,13.69000053,1,2,V8,76.52,0.808000028,767.5767469,2,800
9,9,AUAC,-17.74641775,145.5336776,12.3000021,1,2,V9,67.13,0.824000001,807.2779371,2,800
10,10,AUAD,-17.76958824,145.5350262,13.73999977,1,2,V10,73.21,0.816999972,749.2136489,2,700
11,11,AUBA,-17.37460144,145.7196059,14.5899992,1,2,V11,81.66,0.762000024,792.5371786,2,800
12,12,AUBB,-17.38742191,145.7461066,18.47999954,1,2,V12,73.21,0.745000005,652.8349578,2,600
13,13,AUBC,-17.38038636,145.7613267,17.68000031,1,2,V13,67.73,0.744000018,704.5403776,2,700
14,14,AUCA,-17.30303142,145.4224772,5.31000042,1,3,V14,78.63,0.967999995,1119.608385,1,1100
15,15,AUSE,-17.73890834,145.5409338,11.64999962,1,2,V15,85.6,0.822000027,849.2424363,2,800
16,16,AUSR,-17.72360883,145.5311382,11.15000057,1,2,V16,81.26,0.83099997,861.5684033,2,900
17,17,CU10A,-16.5647694,145.273656,10.5,2,3,V17,102.39,0.850000024,987.6365869,1,1000
18,18,CU10B,-16.58544302,145.2701732,11.6400013,2,3,V18,95.47,0.876999974,969.1587964,1,1000
19,19,CU12A,-16.51777537,145.2731373,6.650001049,2,3,V19,85.83,0.80400002,1168.016506,1,1200
20,20,CU1A,-16.4710519,145.3203315,34.70999908,2,1,V20,65.98,0.867999971,226.3247013,3,100
21,21,CU4A,-16.56585097,145.4095122,27.67000198,2,1,V21,93.18,0.959999979,482.557338,3,400
22,22,CU4B,-16.53123091,145.3732586,31.01999855,2,1,V22,69.12,0.950999975,432.1515768,3,400
23,23,CU6A,-16.57840977,145.3127592,22.11999702,2,2,V23,82.34,0.903999984,400,2,600
24,24,CU8A,-16.58578307,145.3015811,17.48000145,2,2,V24,74.07,0.898000002,765.7529173,2,800
25,25,CUAA,-16.57461838,145.2626988,13.44000053,2,3,V25,118.8,0.870999992,919.6574788,1,900
26,26,SU10A,-18.94102845,146.1860555,11.19999981,3,3,V26,88.84,1.004999995,976.8607743,1,1000
27,27,SU10B,-19.00221106,146.2052631,11.85000038,3,3,V27,90.133,0.992999971,874.1413495,1,1000
28,28,SU350A,-19.015591,146.26558,20.28000069,3,1,V28,90.4,1.009,350,3,400
29,29,SU6A,-19.00085923,146.247205,17.78000259,3,2,V29,90.59,1.003999949,591.4811393,2,600
30,30,SU8A,-18.98070162,146.1659144,11.64999962,3,2,V30,88.46,0.991999984,810.0951786,2,800
31,31,SUAA,-19.01159813,146.2047149,11.75,3,3,V31,95,0.99000001,868.0770449,1,900
32,32,SUAB,-19.00618828,146.2075909,11.85000038,3,3,V32,17,0.992999971,893.6864057,1,900
33,33,SUAC,-19.00450691,146.176446,11.04999924,3,3,V33,90.13,0.986999989,883.4729819,1,900
34,34,SUBA,-18.93975617,146.1482446,9.75,3,3,V34,87.96,0.999000013,908.3086654,1,900
35,35,SUBB,-18.9359161,146.1602775,9.850000381,3,3,V35,74.46,1.001999974,916.7289936,1,900
36,36,SUBC,-18.94260677,146.1853355,10.10000134,3,3,V36,91.46,1.003999949,949.5902242,1,900
37,37,SUBD,-18.94930836,146.1443497,9.900000572,3,2,V37,93.23,0.995999992,913.3972082,2,900
38,38,SUBE,-18.94930836,146.1443497,9.900000572,3,3,V38,93.23,0.995999992,913.3972082,1,900
39,39,WU10A,-16.28209775,145.079913,9.200000763,4,3,V39,104.98,0.875999987,981.4126144,1,1000
40,40,WU11A,-16.26002069,145.0421497,6.500000954,4,3,V40,103.49,0.856999993,1074.286919,1,1100
41,41,WU12A,-16.24570179,145.0229768,4.509999752,4,3,V41,103.47,0.845000029,1195.402493,1,1200
42,42,WU13A,-16.23629558,145.0104071,3.469999552,4,3,V42,107.63,0.836000025,1275.585092,1,1300
43,43,WU9A,-16.28658435,145.0904224,11.54000187,4,3,V43,110.04,0.879999995,890.0544909,1,900
44,44,WUWSA,-16.20784966,144.9738951,5.599999428,4,3,V44,118.13,0.810000002,1137.958492,1,1100