site,lat,long
AU10A,-17.61343944,145.5598501
AU10B,-17.69646656,145.5219314
AU1A,-17.71670041,145.86284
AU2A,-17.65673924,145.8679682
AU4A,-17.61036448,145.7663552
AU6A,-17.67597315,145.7124654
AU8A,-17.60586822,145.6390648
AUAA,-17.74672313,145.5651914
AUAC,-17.74641775,145.5336776
AUAD,-17.76958824,145.5350262
AUBA,-17.37460144,145.7196059
AUBB,-17.38742191,145.7461066
AUBC,-17.38038636,145.7613267
AUCA,-17.30303142,145.4224772
AUSE,-17.73890834,145.5409338
AUSR,-17.72360883,145.5311382
CU10A,-16.5647694,145.273656
CU10B,-16.58544302,145.2701732
CU12A,-16.51777537,145.2731373
CU1A,-16.4710519,145.3203315
CU4A,-16.56585097,145.4095122
CU4B,-16.53123091,145.3732586
CU6A,-16.57840977,145.3127592
CU8A,-16.58578307,145.3015811
CUAA,-16.57461838,145.2626988
SU10A,-18.94102845,146.1860555
SU10B,-19.00221106,146.2052631
SU350A,-19.015591,146.26558
SU6A,-19.00085923,146.247205
SU8A,-18.98070162,146.1659144
SUAA,-19.01159813,146.2047149
SUAB,-19.00618828,146.2075909
SUAC,-19.00450691,146.176446
SUBA,-18.93975617,146.1482446
SUBB,-18.9359161,146.1602775
SUBC,-18.94260677,146.1853355
SUBD,-18.94930836,146.1443497
SUBE,-18.94930836,146.1443497
WU10A,-16.28209775,145.079913
WU11A,-16.26002069,145.0421497
WU12A,-16.24570179,145.0229768
WU13A,-16.23629558,145.0104071
WU9A,-16.28658435,145.0904224
WUWSA,-16.20784966,144.9738951