,family,spp,pop_trend,elev_cat,repro_seasonality,pot_dispersal,habitat_special,forage,diet
9,Megapodiidae,ABT,1.013,3,2,5,-0.930156507,2.349125048,0.273429655
31,Acanthizidae,ASW,0.95,5,2,4,2.691927414,3.216915011,-1.541109217
7,Artamidae,BBUT,1.056,1,2,5,-0.898237236,0.465171074,-1.268693168
28,Campephagidae,BCS,0.97,3,2,6,0.913599995,-1.547227728,1.365866274
26,Dicruridae,BFMON,0.95,2,2,7,1.405407675,-0.240402656,-1.110034043
56,Acanthizidae,BGER,0.96,3,3,5,0.863926191,-0.916627256,-1.541109217
23,Meliphagidae,BHE,0.98,4,2,6,0.531101795,-0.420797059,0.505307821
18,Columbidae,BPIG,0.99,3,2,6,0.388078147,-1.057629207,2.293008998
29,Pachycephalidae,BST,0.95,4,2,7,2.024279367,1.016816332,-1.541109217
24,Ptilonorhynchidae,CAT,0.98,3,2,6,0.531101795,-0.354460901,0.923072591
61,Orthonychidae,CC,1.016,4,3,5,1.278139305,3.213982706,-0.979025834
17,Psittacidae,CROS,1.039,5,2,5,0.532203601,-0.612070389,1.901632886
11,Artamidae,CURR,1.004,5,2,7,-0.421491742,-1.521036032,0.550018737
10,Psittacidae,DEFP,1.026,2,2,5,0.578980701,-1.482805049,2.252351715
42,Meliphagidae,DUHE,1.102,1,3,5,-2.041733327,-1.178843381,-0.296893025
49,Columbidae,ED,1.081,3,3,6,-0.040992797,1.720157034,2.168516158
50,Meliphagidae,ESB,1.086,4,3,6,0.087173022,-0.551743416,0.105171489
57,Eupetidae,EWB,1.002,4,3,5,0.229094863,3.996495318,-1.194563421
39,Acanthizidae,FGER,1.08,1,3,4,-1.755481674,-0.384169087,-1.541109217
36,Oriolidae,FIG,0.996,2,3,6,-2.360392986,-1.43425963,1.796941448
8,Cuculidae,FTCUC,1.09,2,2,8,-0.771173223,-0.05806833,-1.484230755
34,Acanthizidae,FW,1.025,4,2,4,2.564659045,3.213982706,-1.541109217
12,Dicruridae,GFAN,1.012,4,2,4,-1.580947469,0.221764513,-1.484230755
45,Meliphagidae,GHE,1.03,1,3,4,-0.231690994,-0.775769172,0.06714884
21,Petroicidae,GHR,0.984,4,2,4,0.276769413,3.286420689,-0.678958868
35,Ptilonorhynchidae,GOLDBB,0.96,5,2,5,3.02564926,0.18298143,1.273342383
20,Pachycephalidae,GOLDW,0.99,4,2,6,-0.199078631,-0.725136252,-0.849377368
2,Pachycephalidae,GREYW,1.022,1,1,6,-0.57937322,-0.725136252,-1.251441883
30,Psittacidae,KP,0.979,4,2,7,0.595633429,-1.523957878,2.075992266
58,Acanthizidae,LBSW,0.951,3,3,4,0.483427245,0.718010363,-2.017086593
52,Meliphagidae,LEWHE,1.02,3,3,4,0.658370164,-0.023755991,0.521008077
5,Alcedinidae,LKOOK,1.024,1,1,7,-3.662872361,3.457798724,-0.837617994
44,Pachycephalidae,LST,1.073,1,3,5,-1.48649582,1.016816332,-1.035904295
13,Meliphagidae,MACHE,1.003,2,2,4,-0.104626982,-0.199128104,-0.03554253
46,Dicaeidae,MTB,1.027,1,3,6,-2.073652598,-1.3664558,0.553959618
4,Acanthizidae,MTHORN,1.007,5,1,4,1.483899689,-0.595374768,-1.858427468
16,Pittidae,NPIT,1.023,2,2,7,0.753719263,2.062298613,-2.175745718
47,Megapodiidae,OFSF,0.94,2,3,4,0.22929922,2.349125048,0.001013606
19,Dicruridae,PMON,0.995,3,2,5,0.594735979,-1.284419443,-1.110034043
53,Petroicidae,PYR,1.005,2,3,4,0.181420314,2.565379158,-0.446169996
38,Meropidae,RBBE,0.975,2,3,7,-2.057488606,-1.508444645,-1.133511926
51,Dicruridae,RFAN,0.91,3,3,7,-0.278468095,0.238837659,-1.699768342
40,Psittacidae,RL,1.13,3,3,7,-1.692949296,-1.626935507,1.62913232
32,Ptilonorhynchidae,SATBB,0.94,5,2,6,1.898112804,-0.867122612,0.118943562
25,Cuculidae,SBCUC,1.05,4,2,7,0.722901798,-1.365581396,-1.699768342
43,Psittacidae,SBL,1.085,4,3,7,-2.105367512,-1.626935507,1.764313562
37,Meliphagidae,SCARHE,1.022,1,3,6,-2.04152897,-1.533815494,0.31009256
3,Cacatuidae,SCC,1.027,3,1,7,-1.628622019,-1.624793894,2.117170473
1,Dicruridae,SD,0.97,3,1,8,-2.407170086,-1.376313416,-0.408596384
48,Zosteropidae,SE,1.023,1,3,6,-1.502455455,-0.673207196,0.567270022
60,Columbidae,SFD,0.97,3,3,7,1.135115657,-1.419567244,2.479535925
15,Dicruridae,SMON,0.99,2,2,7,-0.215935716,2.068036964,-0.894496456
33,Ptilonorhynchidae,TBBB,0.87,4,2,5,2.373960847,0.005495374,0.227167709
14,Columbidae,TPIG,1.07,5,2,7,0.976336731,-1.430878479,2.479535925
27,Paradisaeidae,VRIF,0.97,3,2,5,0.880783275,-0.811266383,-0.4935748
6,Campephagidae,VT,1.05,1,2,4,-2.391414808,-1.601524045,0.5154753
55,Columbidae,WHPIG,1.029,4,3,6,1.628025143,-1.183188693,2.293008998
54,Columbidae,WOMP,0.95,2,3,6,0.388078147,-1.419567244,2.479535925
59,Climacteridae,WTTC,1,4,3,5,1.151075293,-0.894260034,-0.430020703
22,Dicruridae,YBBB,1.021,2,2,5,0.896742911,-0.240402656,-1.541109217
41,Meliphagidae,YSHE,1.073,1,3,4,-1.185386338,-0.413040442,0.866194129
62,Acanthizidae,YTSW,1.01,4,3,4,1.691454971,3.23050857,-0.354788963